Office Mohali(Wellness industry),4.3,(6),30.677042,76.742623,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
AVASO Tech. Pvt. Ltd.,4.7,(65),N/A,N/A,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
JCBL Corporate Office,4.6,(25),30.67066,76.73472,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
A3G Group of Companies,4.4,(15),30.693753,76.732002,Office,Corporate Office
Init; Consultants,N/A,N/A,30.692413,76.74387,Office,Corporate Office
PAU CAMP OFFICE,4.3,(10),30.696813,76.715738,Office,Corporate Office
Sanjari Software Pvt LTD.,4.5,(4),30.710688,76.750372,Office,Corporate Office
IPG Group,5.0,(1),30.710504,76.754506,Office,Corporate Office
Vij Corporate Solutions,N/A,N/A,30.702828,76.757556,Office,Corporate Office
WALLSTREET INVESTMENTS,5.0,(4),30.699641,76.752036,Office,Corporate Office
Xperdge Trainings,4.5,(4),N/A,N/A,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Office office,5.0,(1),30.719583,76.704393,Office,Corporate Office
"C34, BHARTI AIRTEL LTD",4.4,(16),30.722599,76.708364,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
CS Sahil Malhotra,5.0,(4),30.725425,76.745209,Office,Corporate Office
DC mycloud,5.0,(1),30.718929,76.749504,Office,Corporate Office
Radiant Cash Management Service Pvt.Ltd,4.1,(7),30.72639,76.757689,Office,Corporate Office
Orange HQ,N/A,N/A,30.72191,76.751822,Office,Corporate Office
chartered accountant,4.7,(6),30.722461,76.754137,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Office office,5.0,(1),30.719583,76.704393,Office,Corporate Office
"C34, BHARTI AIRTEL LTD",4.4,(16),30.722599,76.708364,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
Indus Hospital Corporate Office,4.2,(30),30.736913,76.715403,Office,Corporate Office
Office Plus Limited,3.8,(21),30.728129,76.770209,Office,Corporate Office
Sanchi Group of Comapnies,4.0,(4),30.740226,76.74799,Office,Corporate Office
Office RSC,4.7,(3),N/A,N/A,Office,Corporate Office
Office Mohali(Wellness industry),4.3,(6),30.677042,76.742623,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
AVASO Tech. Pvt. Ltd.,4.7,(65),N/A,N/A,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
JCBL Corporate Office,4.6,(25),30.67066,76.73472,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
Init; Consultants,N/A,N/A,30.692413,76.74387,Office,Corporate Office
B,5.0,(1),30.690909,76.750323,Office,Corporate Office
Vij Corporate Solutions,N/A,N/A,30.702828,76.757556,Office,Corporate Office
WALLSTREET INVESTMENTS,5.0,(4),30.699641,76.752036,Office,Corporate Office
CPWD,4.1,(15),30.703269,76.764002,Office,Corporate Office
Sanjari Software Pvt LTD.,4.5,(4),30.710688,76.750372,Office,Corporate Office
IPG Group,5.0,(1),30.710504,76.754506,Office,Corporate Office
Maxx Infotech,5.0,(7),30.704888,76.758686,Office,Corporate Office
Vij Corporate Solutions,N/A,N/A,30.702828,76.757556,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
Office,4.8,(4),30.719855,76.768765,Office,Corporate Office
Nuvoco vistas Corp. Ltd Mohali,4.5,(6),30.724225,76.712145,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
AKAI INDIA | Akai Fire TV | Akai Tower Speaker | Akai LED TV | Akai Washing Machine | Akai AC | Akai Home Theatre,4.7,(176),30.723691,76.76334,Office,Corporate Office
Rajiv Gandhi Bhawan,4.1,(14),N/A,N/A,Office,Corporate Office
Secure-Net Technologies,4.8,(283),30.724111,76.762223,Office,Corporate Office
LIC PREMIUM COLLECTION OFFICE,5.0,(4),30.726689,76.758314,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
Office,4.8,(4),30.719855,76.768765,Office,Corporate Office
Nuvoco vistas Corp. Ltd Mohali,4.5,(6),30.724225,76.712145,Office,Corporate Office
Sanchi Group of Comapnies,4.0,(4),30.740226,76.74799,Office,Corporate Office
Outfinity,4.7,(7),30.733557,76.747001,Office,Corporate Office
Gurudev Sales Corporation,5.0,(1),30.740821,76.744473,Office,Corporate Office
Navzan Solutions,5.0,(4),30.738341,76.748399,Office,Corporate Office
Omaxe New Chandigarh Property,3.4,(5),30.738774,76.762357,Office,Corporate Office
B,5.0,(1),30.690909,76.750323,Office,Corporate Office
Twenty First Gen,5.0,(6),30.693303,76.766353,Office,Corporate Office
jk office,N/A,N/A,30.691189,76.767019,Office,Corporate Office
ADGBR (NW) GREF,4.4,(17),30.684408,76.756526,Office,Corporate Office
Gref Camp,4.2,(13),30.685095,76.757905,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
A3G Group of Companies,4.4,(15),30.693753,76.732002,Office,Corporate Office
Init; Consultants,N/A,N/A,30.692413,76.74387,Office,Corporate Office
Sikka,4.0,(2),N/A,N/A,Office,Corporate Office
CPWD,4.1,(15),30.703269,76.764002,Office,Corporate Office
Sanjari Software Pvt LTD.,4.5,(4),30.710688,76.750372,Office,Corporate Office
IPG Group,5.0,(1),30.710504,76.754506,Office,Corporate Office
Maxx Infotech,5.0,(7),30.704888,76.758686,Office,Corporate Office
Vij Corporate Solutions,N/A,N/A,30.702828,76.757556,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
VEE AAR PROFESSIONALS LLP,5.0,(6),30.714134,76.766448,Office,Corporate Office
Office,4.8,(4),30.719855,76.768765,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Office Plus Limited,3.8,(21),30.728129,76.770209,Office,Corporate Office
Red Bull Office,4.1,(7),30.724522,76.764728,Office,Corporate Office
Synergy Office Solutions,5.0,(2),30.721896,76.768006,Office,Corporate Office
Suryakavach Ventures Pvt Ltd,4.5,(2),30.722918,76.767957,Office,Corporate Office
Office Plus Limited,3.8,(21),30.728129,76.770209,Office,Corporate Office
Red Bull Office,4.1,(7),30.724522,76.764728,Office,Corporate Office
satellite security services,5.0,(3),30.728649,76.758292,Office,Corporate Office
RTEX HR Services Private Limited,4.8,(96),30.724544,76.764855,Office,Corporate Office
LIC PREMIUM COLLECTION OFFICE,5.0,(4),30.726689,76.758314,Office,Corporate Office
Raman Walia Advocate High Court Chd,5.0,(1),30.732325,76.781524,Office,Corporate Office
Ranjit Singh & Company OFFICE,5.0,(6),30.726556,76.717092,Office,Corporate Office
Office Plus Limited,3.8,(21),30.728129,76.770209,Office,Corporate Office
Sanchi Group of Comapnies,4.0,(4),30.740226,76.74799,Office,Corporate Office
chandigarh Now,5.0,(1),30.738553,76.782016,Office,Corporate Office
Office Mohali(Wellness industry),4.3,(6),30.677042,76.742623,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
AVASO Tech. Pvt. Ltd.,4.7,(65),N/A,N/A,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
JCBL Corporate Office,4.6,(25),30.67066,76.73472,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
Secureye service center,4.6,(5),30.695855,76.768396,Office,Corporate Office
Twenty First Gen,5.0,(6),30.693303,76.766353,Office,Corporate Office
jk office,N/A,N/A,30.691189,76.767019,Office,Corporate Office
Vij Corporate Solutions,N/A,N/A,30.702828,76.757556,Office,Corporate Office
Swati Corporate Society,4.5,(12),30.696287,76.750129,Office,Corporate Office
Chandigarh City,4.6,(49),30.695985,76.768203,Office,Corporate Office
VEE AAR PROFESSIONALS LLP,5.0,(6),30.714134,76.766448,Office,Corporate Office
United Breweries Limited Sales Office,4.3,(6),30.69753,76.78823,Office,Corporate Office
A3G Group of Companies,4.4,(15),30.693753,76.732002,Office,Corporate Office
VEE AAR PROFESSIONALS LLP,5.0,(6),30.714134,76.766448,Office,Corporate Office
head office,3.7,(3),30.717884,76.774638,Office,Corporate Office
Marketing Hook,4.9,(117),30.709463,76.773199,Office,Corporate Office
Ekana Healthcare Pvt. Ltd.,5.0,(4),30.709032,76.774356,Office,Corporate Office
Office,4.8,(4),30.719855,76.768765,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Office,5.0,(2),30.734976,76.787092,Office,Corporate Office
VEE AAR PROFESSIONALS LLP,5.0,(6),30.714134,76.766448,Office,Corporate Office
Office,4.8,(4),30.719855,76.768765,Office,Corporate Office
Raman Walia Advocate High Court Chd,5.0,(1),30.732325,76.781524,Office,Corporate Office
Chandigarh Smart City Limited Office,4.5,(57),30.743144,76.786291,Office,Corporate Office
Verka Corporate Office,4.3,(176),30.722072,76.770565,Office,Corporate Office
NCR Corporation India Pvt Ltd,4.2,(11),30.721199,76.759455,Office,Corporate Office
Office,5.0,(2),30.734976,76.787092,Office,Corporate Office
The Kalgidhar Trust Purchase Office,4.3,(31),30.738517,76.774759,Office,Corporate Office
Sector 23 c,4.8,(5),30.737742,76.764729,Office,Corporate Office
"Kutlehar House, Chandigarh",5.0,(1),30.742523,76.765399,Office,Corporate Office
Omaxe New Chandigarh Property,3.4,(5),30.738774,76.762357,Office,Corporate Office
CA Rajiv Malhotra,4.8,(5),30.737517,76.775053,Office,Corporate Office
