Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Labh Dairy & Sweets,4.2,(628),30.678803,76.745788,Shop,Diary
Kisan Dairy Products,4.0,(36),30.693531,76.732621,Shop,Diary
Khatana Dairy and Sweets,3.5,(102),30.693137,76.734304,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Hema Stores N Stationers,4.0,(5),30.69407,76.756783,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Kisan Dairy Products,4.0,(36),30.693531,76.732621,Shop,Diary
Khatana Dairy and Sweets,3.5,(102),30.693137,76.734304,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
HF Super Ice Cream Parlour,4.5,(194),30.702169,76.727451,Shop,Diary
New Maa Durga Sweets & Diaries,4.1,(237),30.717736,76.766346,Shop,Diary
rohilla book shopee,4.2,(18),30.727801,76.749042,Shop,Diary
Khalsa Books Shop attwa,3.9,(110),N/A,N/A,Shop,Diary
Mahajan Book Centre & Stationery,3.9,"(1,167)",30.72799,76.749845,Shop,Diary
Ankur Book Center,3.8,(129),30.727955,76.749246,Shop,Diary
Swarn Stationers,4.3,(4),N/A,N/A,Shop,Diary
Verka Booth,4.0,(80),N/A,N/A,Shop,Diary
Bawa Dairy,3.9,(25),30.738227,76.73275,Shop,Diary
Pal Dairy,5.0,(3),30.731515,76.740146,Shop,Diary
Verka Milk Booth 41/3 Sector 41 Market,4.1,"(1,140)",30.73318,76.738407,Shop,Diary
Semul Dairy AND SWEETS,4.2,"(1,131)",30.733922,76.736808,Shop,Diary
Verka Booth,4.0,(80),N/A,N/A,Shop,Diary
Bawa Dairy,3.9,(25),30.738227,76.73275,Shop,Diary
Pal Dairy,5.0,(3),30.731515,76.740146,Shop,Diary
Verka Milk Booth 41/3 Sector 41 Market,4.1,"(1,140)",30.73318,76.738407,Shop,Diary
Semul Dairy AND SWEETS,4.2,"(1,131)",30.733922,76.736808,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
JD Books & Stationers,4.1,(91),30.691874,76.760111,Shop,Diary
Hema Stores N Stationers,4.0,(5),30.69407,76.756783,Shop,Diary
Haidary stationary and book center,N/A,N/A,30.687387,76.760141,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Khatana Dairy and Sweets,3.5,(102),30.693137,76.734304,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Dost Diary,4.5,(4),30.691482,76.709806,Shop,Diary
Baba Dairy,4.3,"(5,377)",30.724464,76.778678,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
New Maa Durga Sweets & Diaries,4.1,(237),30.717736,76.766346,Shop,Diary
Ashoka Trading Company,4.5,(98),30.717152,76.735452,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Pal Dairy,5.0,(3),30.731515,76.740146,Shop,Diary
Verka Milk Booth 41/3 Sector 41 Market,4.1,"(1,140)",30.73318,76.738407,Shop,Diary
Semul Dairy AND SWEETS,4.2,"(1,131)",30.733922,76.736808,Shop,Diary
Verka Booth 22/12,4.2,(132),30.729234,76.767897,Shop,Diary
Ram Book Depot,4.2,(399),30.733925,76.753484,Shop,Diary
rohilla book shopee,4.2,(18),30.727801,76.749042,Shop,Diary
Khalsa Books Shop attwa,3.9,(110),N/A,N/A,Shop,Diary
Om Book Store,4.0,(113),30.726126,76.758421,Shop,Diary
Anand Stationery & Gift Shop,2.5,(8),N/A,N/A,Shop,Diary
Verka Booth,4.0,(80),N/A,N/A,Shop,Diary
Pal Dairy,5.0,(3),30.731515,76.740146,Shop,Diary
Verka Milk Booth 41/3 Sector 41 Market,4.1,"(1,140)",30.73318,76.738407,Shop,Diary
Semul Dairy AND SWEETS,4.2,"(1,131)",30.733922,76.736808,Shop,Diary
Travel Diaries,5.0,(49),30.739767,76.766867,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Labh Dairy & Sweets,4.2,(628),30.678803,76.745788,Shop,Diary
JD Books & Stationers,4.1,(91),30.691874,76.760111,Shop,Diary
Day Night Marts,4.5,(100),30.681586,76.744224,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
JD Books & Stationers,4.1,(91),30.691874,76.760111,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Baba Dairy,4.3,"(5,377)",30.724464,76.778678,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Baba Dairy,4.3,"(5,377)",30.724464,76.778678,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Sandhu Sweets & Dairy Products,5.0,(2),30.705051,76.757605,Shop,Diary
New Maa Durga Sweets & Diaries,4.1,(237),30.717736,76.766346,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
New Maa Durga Sweets & Diaries,4.1,(237),30.717736,76.766346,Shop,Diary
Ritu Stationers,4.5,(27),30.71827,76.766102,Shop,Diary
Sohit Stationers,3.0,(2),30.719591,76.764023,Shop,Diary
Om Book Store,4.0,(113),30.726126,76.758421,Shop,Diary
Baba Dairy,4.3,"(5,377)",30.724464,76.778678,Shop,Diary
Verka Booth,4.0,(80),N/A,N/A,Shop,Diary
Pal Dairy,5.0,(3),30.731515,76.740146,Shop,Diary
Travel Diaries,5.0,(49),30.739767,76.766867,Shop,Diary
Verka Full Day Booth 21 A,4.0,(133),30.729036,76.776358,Shop,Diary
Verka Booth,4.0,(80),N/A,N/A,Shop,Diary
Travel Diaries,5.0,(49),30.739767,76.766867,Shop,Diary
Munshi Ram Manak Chand Jain,4.1,(53),30.734216,76.769897,Shop,Diary
Ram Book Depot,4.2,(399),30.733925,76.753484,Shop,Diary
Popular Book Store,3.9,"(1,409)",30.734297,76.770048,Shop,Diary
JD Books & Stationers,4.1,(91),30.691874,76.760111,Shop,Diary
Dua Stationers,4.1,(9),30.694067,76.770823,Shop,Diary
Hema Stores N Stationers,4.0,(5),30.69407,76.756783,Shop,Diary
Arshia's,4.2,(13),30.692408,76.767556,Shop,Diary
Haidary stationary and book center,N/A,N/A,30.687387,76.760141,Shop,Diary
JD Books & Stationers,4.1,(91),30.691874,76.760111,Shop,Diary
Dua Stationers,4.1,(9),30.694067,76.770823,Shop,Diary
Vishal Stationers & Gift Shop,5.0,(1),30.697894,76.762629,Shop,Diary
Uttam Sweets & Dairy Products,4.0,"(3,394)",30.699946,76.765624,Shop,Diary
Surjit Stores,3.6,(74),N/A,N/A,Shop,Diary
Lovely Dairy,4.0,(75),30.691875,76.744538,Shop,Diary
Shiv Dairy,4.2,(11),30.70792,76.764016,Shop,Diary
Baba Dairy,4.3,"(5,377)",30.724464,76.778678,Shop,Diary
Singh Dairy,4.2,(17),30.690142,76.745777,Shop,Diary
Verka Milk Booth 34/1,4.3,(557),30.716811,76.762818,Shop,Diary
